Date,Closing Value
12/10/2010,2637.540039
12/9/2010,2616.669922
12/8/2010,2609.159912
12/7/2010,2598.48999
12/6/2010,2594.919922
12/3/2010,2591.459961
12/2/2010,2579.350098
12/1/2010,2549.429932
11/30/2010,2498.22998
11/29/2010,2525.219971
11/26/2010,2534.560059
11/24/2010,2543.120117
11/23/2010,2494.949951
11/22/2010,2532.02002
11/19/2010,2518.120117
11/18/2010,2514.399902
11/17/2010,2476.01001
11/16/2010,2469.840088
11/15/2010,2513.820068
11/12/2010,2518.209961
11/11/2010,2555.52002
11/10/2010,2578.780029
11/9/2010,2562.97998
11/8/2010,2580.050049
11/5/2010,2578.97998
11/4/2010,2577.340088
11/3/2010,2540.27002
11/2/2010,2533.52002
11/1/2010,2504.840088
10/29/2010,2507.409912
10/28/2010,2507.370117
10/27/2010,2503.26001
10/26/2010,2497.290039
10/25/2010,2490.850098
10/22/2010,2479.389893
10/21/2010,2459.669922
10/20/2010,2457.389893
10/19/2010,2436.949951
10/18/2010,2480.659912
10/15/2010,2468.77002
10/14/2010,2435.379883
10/13/2010,2441.22998
10/12/2010,2417.919922
10/11/2010,2402.330078
10/8/2010,2401.909912
10/7/2010,2383.669922
10/6/2010,2380.659912
10/5/2010,2399.830078
10/4/2010,2344.52002
10/1/2010,2370.75
9/30/2010,2368.620117
9/29/2010,2376.560059
9/28/2010,2379.590088
9/27/2010,2369.77002
9/24/2010,2381.219971
9/23/2010,2327.080078
9/22/2010,2334.550049
9/21/2010,2349.350098
9/20/2010,2355.830078
9/17/2010,2315.610107
9/16/2010,2303.25
9/15/2010,2301.320068
9/14/2010,2289.77002
9/13/2010,2285.709961
9/10/2010,2242.47998
9/9/2010,2236.199951
9/8/2010,2228.870117
9/7/2010,2208.889893
9/3/2010,2233.75
9/2/2010,2200.01001
9/1/2010,2176.840088
8/31/2010,2114.030029
8/30/2010,2119.969971
8/27/2010,2153.629883
8/26/2010,2118.689941
8/25/2010,2141.540039
8/24/2010,2123.76001
8/23/2010,2159.629883
8/20/2010,2179.76001
8/19/2010,2178.949951
8/18/2010,2215.699951
8/17/2010,2209.439941
8/16/2010,2181.870117
8/13/2010,2173.47998
8/12/2010,2190.27002
8/11/2010,2208.629883
8/10/2010,2277.169922
8/9/2010,2305.689941
8/6/2010,2288.469971
8/5/2010,2293.060059
8/4/2010,2303.570068
8/3/2010,2283.52002
8/2/2010,2295.360107
7/30/2010,2254.699951
7/29/2010,2251.689941
7/28/2010,2264.560059
7/27/2010,2288.25
7/26/2010,2296.429932
7/23/2010,2269.469971
7/22/2010,2245.889893
7/21/2010,2187.330078
7/20/2010,2222.48999
7/19/2010,2198.22998
7/16/2010,2179.050049
7/15/2010,2249.080078
7/14/2010,2249.840088
7/13/2010,2242.030029
7/12/2010,2198.360107
7/9/2010,2196.449951
7/8/2010,2175.399902
7/7/2010,2159.469971
7/6/2010,2093.879883
7/2/2010,2091.790039
7/1/2010,2101.360107
6/30/2010,2109.23999
6/29/2010,2135.179932
6/28/2010,2220.649902
6/25/2010,2223.47998
6/24/2010,2217.419922
6/23/2010,2254.22998
6/22/2010,2261.800049
6/21/2010,2289.090088
6/18/2010,2309.800049
6/17/2010,2307.159912
6/16/2010,2305.929932
6/15/2010,2305.879883
6/14/2010,2243.959961
6/11/2010,2243.600098
6/10/2010,2218.709961
6/9/2010,2158.850098
6/8/2010,2170.570068
6/7/2010,2173.899902
6/4/2010,2219.169922
6/3/2010,2303.030029
6/2/2010,2281.070068
6/1/2010,2222.330078
5/28/2010,2257.040039
5/27/2010,2277.679932
5/26/2010,2195.879883
5/25/2010,2210.949951
5/24/2010,2213.550049
5/21/2010,2229.040039
5/20/2010,2204.01001
5/19/2010,2298.370117
5/18/2010,2317.26001
5/17/2010,2354.22998
5/14/2010,2346.850098
5/13/2010,2394.360107
5/12/2010,2425.02002
5/11/2010,2375.310059
5/10/2010,2374.669922
5/7/2010,2265.639893
5/6/2010,2319.639893
5/5/2010,2402.290039
5/4/2010,2424.25
5/3/2010,2498.73999
4/30/2010,2461.189941
4/29/2010,2511.919922
4/28/2010,2471.72998
4/27/2010,2471.469971
4/26/2010,2522.949951
4/23/2010,2530.149902
4/22/2010,2519.070068
4/21/2010,2504.610107
4/20/2010,2500.310059
4/19/2010,2480.110107
4/16/2010,2481.26001
4/15/2010,2515.689941
4/14/2010,2504.860107
4/13/2010,2465.98999
4/12/2010,2457.870117
4/9/2010,2454.050049
4/8/2010,2436.810059
4/7/2010,2431.159912
4/6/2010,2436.810059
4/5/2010,2429.530029
4/1/2010,2402.580078
3/31/2010,2397.959961
3/30/2010,2410.689941
3/29/2010,2404.360107
3/26/2010,2395.129883
3/25/2010,2397.409912
3/24/2010,2398.76001
3/23/2010,2415.23999
3/22/2010,2395.399902
3/19/2010,2374.409912
3/18/2010,2391.280029
3/17/2010,2389.090088
3/16/2010,2378.01001
3/15/2010,2362.209961
3/12/2010,2367.659912
3/11/2010,2368.459961
3/10/2010,2358.949951
3/9/2010,2340.679932
3/8/2010,2332.209961
3/5/2010,2326.350098
3/4/2010,2292.310059
3/3/2010,2280.679932
3/2/2010,2280.790039
3/1/2010,2273.570068
2/26/2010,2238.26001
2/25/2010,2234.219971
2/24/2010,2235.899902
2/23/2010,2213.439941
