Date,Boeing,MacDonalds,Nike,Walmart
5/9/2016,118.65152,116.520996,55.603283,61.865845
5/10/2016,121.004784,117.206772,56.057804,61.722298
5/11/2016,120.434288,115.015816,53.984043,60.023109
5/12/2016,121.720139,115.888618,54.912029,60.42078
5/13/2016,119.637421,114.739716,54.268108,58.694473
5/16/2016,121.466591,115.461143,54.10714,59.670601
5/17/2016,120.035851,113.724411,54.069271,58.839088
5/18/2016,118.614197,112.406273,53.141277,57.076626
5/19/2016,115.979118,111.586891,54.012459,62.544765
5/20/2016,115.354317,109.155479,53.482174,63.141312
5/23/2016,115.526375,109.378128,53.018177,62.815918
5/24/2016,115.453911,110.393456,53.586327,63.484737
5/25/2016,116.685417,109.778923,53.018177,63.701664
5/26/2016,117.092911,110.250954,52.876144,64.036087
5/27/2016,117.011414,109.770012,53.207558,63.945694
5/31/2016,114.231476,108.710167,52.289051,63.972813
6/1/2016,114.466904,108.63002,52.014446,63.719753
6/2/2016,114.865326,108.710762,51.786514,64.126457
6/3/2016,115.345253,108.872253,50.760857,64.054184
6/6/2016,119.438217,109.455414,51.568092,64.216866
6/7/2016,119.46537,109.365685,50.855827,64.198761
6/8/2016,120.434288,109.554085,51.397152,64.424736
6/9/2016,120.524849,110.164185,52.175892,64.253006
6/10/2016,118.749992,109.778397,52.337337,64.298187
6/13/2016,117.645294,110.343613,52.1474,63.746872
6/14/2016,118.170494,109.912987,51.397152,64.126457
6/15/2016,117.862602,109.679695,51.577587,64.280121
6/16/2016,117.147232,109.877075,50.779854,64.442825
6/17/2016,117.554749,109.697639,51.007778,64.126457
6/20/2016,120.207901,110.729401,51.625076,64.262047
6/21/2016,119.094109,110.020622,52.014442,64.587402
6/22/2016,119.320511,108.217285,51.824501,64.849533
6/23/2016,120.932335,108.746635,51.397152,65.165878
6/24/2016,114.566505,107.158646,49.944122,65.039352
6/27/2016,111.107422,104.341507,49.279343,64.623566
6/28/2016,112.184982,106.315292,50.418968,64.632607
6/29/2016,114.992111,107.203506,52.356335,65.491241
6/30/2016,117.600014,107.966103,52.422813,65.997383
7/1/2016,117.437012,108.019928,52.812187,65.807594
7/5/2016,114.973999,108.342918,52.422813,66.105865
7/6/2016,114.964935,108.226265,52.992626,66.720444
7/7/2016,115.155098,108.486465,53.106579,66.458336
7/8/2016,117.799225,108.836357,53.866344,66.738525
7/11/2016,119.564995,109.455414,53.970795,66.937355
7/12/2016,118.451187,109.679695,55.138924,66.223351
7/13/2016,117.817329,110.191093,55.072445,66.539703
7/14/2016,119.121284,111.186951,55.547287,66.611992
7/15/2016,119.881912,110.899864,54.958477,66.584885
7/18/2016,120.823662,111.070328,54.835014,66.738525
7/19/2016,121.937447,113.492699,54.854008,66.575859
7/20/2016,121.991806,113.097939,54.854008,66.693344
7/21/2016,120.914215,114.102776,54.122749,66.44931
7/22/2016,120.859871,115.071739,53.875832,66.476433
7/25/2016,120.379951,114.300163,54.265205,66.657181
7/26/2016,122.109505,109.195236,53.533951,66.63913
7/27/2016,123.114632,107.194534,52.983124,66.268539
7/28/2016,120.443314,107.140686,52.66024,66.196228
7/29/2016,121.031937,105.552689,52.707714,65.952194
8/1/2016,120.624443,105.875702,52.622253,66.684296
8/2/2016,119.166565,105.597549,52.156891,66.096825
8/3/2016,119.411064,105.436058,51.995445,65.925079
8/4/2016,118.813408,106.135849,52.033428,66.25045
8/5/2016,119.284264,106.952293,53.040108,66.666229
8/8/2016,119.700829,106.126892,53.163563,66.286613
8/9/2016,120.090187,106.144821,52.964138,66.467384
8/10/2016,120.774956,106.584442,52.356335,67.295486
8/11/2016,121.432304,107.104805,53.875832,67.159004
8/12/2016,121.523628,107.230415,53.609924,67.240883
8/15/2016,122.94796,106.333244,53.913818,66.722183
8/16/2016,123.258377,105.812874,54.018288,66.330879
8/17/2016,123.002754,105.059258,53.999302,66.367264
8/18/2016,123.258377,105.086159,54.331684,67.613983
8/19/2016,122.74707,103.184158,55.936665,66.25808
8/22/2016,123.249245,103.551994,55.708733,66.157982
8/23/2016,122.473175,103.34565,56.620434,65.493668
8/24/2016,121.697105,103.058556,57.190243,65.730293
8/25/2016,121.414063,103.560966,56.259556,64.81115
8/26/2016,120.729301,102.672768,56.031628,64.738342
8/29/2016,121.341034,103.543007,55.680248,64.974976
8/30/2016,119.432808,104.302513,55.081936,64.893051
8/31/2016,118.191093,104.573761,54.740047,65.01136
9/1/2016,118.601959,104.338684,55.749527,66.285385
9/2/2016,119.75238,104.727455,55.405746,65.97599
9/6/2016,121.423187,106.01136,54.823227,66.430977
9/7/2016,121.103653,105.712975,55.119255,65.575562
9/8/2016,121.341034,105.034851,53.639099,65.366272
9/9/2016,117.351112,103.597267,52.836952,63.973953
9/12/2016,118.802826,104.83593,53.486305,65.466377
9/13/2016,117.561111,103.73291,52.875149,65.029541
9/14/2016,116.565903,104.139755,52.645954,65.084167
9/15/2016,116.657204,105.007736,52.970642,65.884979
9/16/2016,115.680275,104.230171,52.693707,66.312668
9/19/2016,116.392441,104.166885,52.474075,65.602867
9/20/2016,116.675476,105.288025,52.397671,65.493668
9/21/2016,119.204552,105.722015,52.846493,65.693886
9/22/2016,120.40062,106.110802,52.913349,65.766663
9/23/2016,120.318436,105.939011,52.665062,65.839462
9/26/2016,119.213669,105.360367,51.948853,65.175163
9/27/2016,119.898453,105.676819,52.846493,65.821266
9/28/2016,120.729301,104.139755,50.850666,65.329865
9/29/2016,119.633667,103.78714,49.809776,64.36525
9/30/2016,120.281921,104.302513,50.277702,65.63018
10/3/2016,120.866249,103.65152,50.296803,65.530083
10/4/2016,120.747566,102.620789,49.790676,65.293465
10/5/2016,122.94796,102.539413,49.771587,65.220657
10/6/2016,122.728813,103.000526,49.685631,63.11853
10/7/2016,122.208389,102.575577,49.456455,62.517918
10/10/2016,124.025322,103.714806,49.456455,61.86272
10/11/2016,122.107979,102.783539,49.485092,61.325787
10/12/2016,121.578415,103.714806,50.077168,61.389511
10/13/2016,121.779297,104.34771,49.685631,62.090221
10/14/2016,121.88887,103.154251,49.294109,62.290413
10/17/2016,122.345383,101.635277,48.730701,62.081123
10/18/2016,123.349724,100.586456,48.91214,62.672634
10/19/2016,124.335754,100.595505,49.466007,62.690815
10/20/2016,124.025322,99.971657,49.551945,62.545219
10/21/2016,123.833603,103.009575,49.437351,62.190304
10/24/2016,125.4953,102.684082,49.532848,62.963833
10/25/2016,126.928772,101.915558,48.749802,63.11853
10/26/2016,132.881668,101.364029,49.628334,63.327835
10/27/2016,130.845612,101.336914,49.551945,63.546234
10/28/2016,130.571716,101.354988,49.676086,63.691833
10/31/2016,130.04216,101.779922,47.918999,63.719135
11/1/2016,130.023911,101.490601,47.384228,63.063934
11/2/2016,128.508286,101.617195,47.479721,63.200439
11/3/2016,127.841759,101.011414,47.489269,63.36422
11/4/2016,127.403542,100.396584,47.708904,62.936531
11/7/2016,130.589966,102.005966,48.616108,63.500732
11/8/2016,130.829178,103.172318,48.778446,63.509846
11/9/2016,134.51918,103.958916,48.816635,64.701958
11/10/2016,136.929779,103.533989,48.119534,64.965866
11/11/2016,137.69931,103.271767,48.482418,64.820259
11/14/2016,139.06221,106.562897,47.947643,64.146835
11/15/2016,137.319183,106.978775,47.871246,64.993164
11/16/2016,135.770874,107.783478,48.396465,64.965866
11/17/2016,134.74173,108.000443,49.265472,62.963833
11/18/2016,135.687424,108.497757,48.797546,62.372334
11/21/2016,136.308609,108.04567,48.969437,63.12764
11/22/2016,138.626465,108.217476,49.380058,63.810154
11/23/2016,138.830444,108.624344,49.02673,64.456261
11/25/2016,139.108566,109.09449,49.19862,64.820259
11/28/2016,138.858246,110.143295,48.711601,64.783852
11/29/2016,140.591995,109.961082,48.348724,64.947662
11/30/2016,139.590714,108.676308,47.813953,64.092247
12/1/2016,141.287384,107.947365,48.542332,64.310654
12/2/2016,141.157562,107.737793,48.360229,64.501762
12/5/2016,141.074112,108.694534,49.692394,63.646355
12/6/2016,141.148285,108.658089,48.465656,64.028542
12/7/2016,142.909851,109.26857,49.931992,64.706772
12/8/2016,144.068787,109.751503,49.404869,64.468483
12/9/2016,145.088654,110.489563,49.567802,64.230186
12/12/2016,145.709824,110.926926,49.395298,65.687447
12/13/2016,145.246277,111.783417,50.123665,65.80658
12/14/2016,143.215775,111.929207,49.634888,65.385002
12/15/2016,142.566833,111.491844,49.155697,65.146706
12/16/2016,143.243652,112.293686,48.801094,65.055061
12/19/2016,144.801239,112.065887,48.734005,65.604973
12/20/2016,144.995926,112.375694,49.634888,65.824936
12/21/2016,146.006485,112.239006,50.123665,65.29335
12/22/2016,145.987976,112.731056,49.970325,63.781082
12/23/2016,146.312485,112.20256,49.749901,63.735249
12/27/2016,146.006485,112.138786,49.155697,63.881912
12/28/2016,144.727097,111.783417,48.896931,63.524456
12/29/2016,144.346939,111.883659,48.935268,63.47863
12/30/2016,144.337631,110.908691,48.714836,63.350315
1/3/2017,145.533676,108.995216,49.816982,62.928711
1/4/2017,147.063477,108.867645,50.861626,63.295322
1/5/2017,147.146927,109.068123,50.852039,63.432796
1/6/2017,147.508514,110.033981,51.666664,62.562096
1/9/2017,146.785309,109.733284,51.158726,62.974529
1/10/2017,147.480667,109.569244,50.899967,62.534611
1/11/2017,147.786606,110.143295,50.49744,62.809555
1/12/2017,146.757492,111.254936,50.219505,62.296322
1/13/2017,147.258148,110.708229,50.717861,61.526436
1/17/2017,146.182678,111.847206,51.4175,62.708752
1/18/2017,146.785309,111.810753,51.053307,62.424622
1/19/2017,147.415741,111.32785,50.727451,61.975529
1/20/2017,147.907181,111.400742,50.986214,61.572247
1/23/2017,146.340286,110.598892,51.024551,61.086491
1/24/2017,148.852844,110.29821,51.225819,61.773891
1/25/2017,155.166687,110.972481,51.618752,61.306465
1/26/2017,156.798447,111.054489,51.4175,61.159828
1/27/2017,155.481918,111.947426,50.976624,60.179142
1/30/2017,153.507095,112.093216,50.871208,60.875694
1/31/2017,151.513748,111.683182,50.6987,61.168968
2/1/2017,152.023697,111.546509,50.813709,60.701557
2/2/2017,150.438248,112.275459,50.602871,61.132313
2/3/2017,150.5681,113.204849,50.181175,60.949013
2/6/2017,152.032944,113.39621,50.602871,60.857368
2/7/2017,154.369339,113.523773,50.612442,61.306465
2/8/2017,153.181747,113.596664,51.63792,62.149651
2/9/2017,153.621246,113.423546,53.008419,63.31366
2/10/2017,155.444748,114.644516,53.880554,62.342144
2/13/2017,157.127945,114.389389,53.755955,62.112995
2/14/2017,157.567429,114.635414,54.100975,62.928711
2/15/2017,158.315536,115.245903,54.28307,62.956215
2/16/2017,159.72757,115.446373,53.947636,63.121197
2/17/2017,161.504318,116.448677,54.388489,63.579453
2/21/2017,164.169403,116.667336,54.97311,65.485825
2/22/2017,163.982346,116.494225,55.81649,65.724129
2/23/2017,165.385056,116.876915,55.001865,65.357498
2/24/2017,165.927414,117.223145,55.452305,66.347351
2/27/2017,167.788315,116.562271,55.289375,65.751602
2/28/2017,168.536362,117.168083,54.781433,65.009232
3/1/2017,171.977646,118.45314,55.538563,64.569313
3/2/2017,171.117355,117.700462,55.567398,64.853432
3/3/2017,170.359848,117.39756,54.509888,64.184357
3/6/2017,169.190948,117.516891,54.577183,64.046883
3/7/2017,170.21022,117.553612,54.365681,64.03772
3/8/2017,169.94841,117.571976,54.327221,64.443947
3/9/2017,168.85434,117.617859,54.183018,64.499336
3/10/2017,167.105667,117.471001,54.250317,64.720924
3/13/2017,167.432968,117.131378,54.481037,64.582451
3/14/2017,167.133713,117.305779,55.067478,65.293343
3/15/2017,167.115021,117.379196,55.432808,65.164101
3/16/2017,166.628723,117.471001,55.375118,65.034843
3/17/2017,168.414825,118.076805,55.567398,64.527039
3/20/2017,167.750885,118.205307,56.413403,64.610123
3/21/2017,164.543427,117.96666,55.769283,64.53627
3/22/2017,165.497253,118.499031,51.837269,64.859406
3/23/2017,165.759094,118.407249,53.231258,64.499336
3/24/2017,164.412521,118.719322,54.183018,64.268517
3/27/2017,164.674347,118.857002,53.76963,64.314697
3/28/2017,165.852615,118.820274,54.432972,64.924042
3/29/2017,166.105087,118.260361,54.490658,65.311821
3/30/2017,166.432373,118.700974,53.875378,66.096573
3/31/2017,165.385056,118.967148,53.577358,66.548996
4/3/2017,165.188644,118.967148,53.413921,66.318176
4/4/2017,167.105667,118.673424,52.914001,66.484367
4/5/2017,165.590759,119.701462,52.856335,66.151993
4/6/2017,165.861938,119.462814,53.010143,65.948868
4/7/2017,167.245926,119.288414,52.9813,67.306068
4/10/2017,166.039627,119.306763,52.779415,67.453796
4/11/2017,166.9841,120.426598,52.798645,67.795395
4/12/2017,164.627594,120.481667,53.423538,67.804634
4/13/2017,164.225449,120.022697,53.202431,67.536896
4/17/2017,167.404892,120.564255,54.067657,67.850792
4/18/2017,166.310822,121.436272,53.942673,68.2201
4/19/2017,166.825119,121.748329,53.702335,68.386292
4/20/2017,167.666733,122.326607,54.221485,69.060287
4/21/2017,168.676666,122.455116,53.692715,69.189529
4/24/2017,170.247665,123.207779,53.3274,69.041817
4/25/2017,171.603577,130.064392,53.308167,69.291092
4/26/2017,169.920364,129.274994,53.029369,69.641914
4/27/2017,171.332382,129.302551,53.3274,69.651169
4/28/2017,172.837936,128.439713,53.269726,69.411102
5/1/2017,170.556259,129.559555,52.865936,69.457275
